Sl No,Project Name,Promoter,Completion Date,Extension 1,Extension 2,Extension 3,Address,Area (sqm),Units,Matched Locality,Nearest Metro Station,Distance to Metro (km),Within 4km,Google Maps
137,SATTVA SPRINGS,Sattva Resi Private Limited,18-09-2027,,,,"land bearing BBMP khatha No.24/20/20/219, Mysore Main Road, Bengaluru carved out of converted undeveloped lands bearing Survey No.126, Survey No.119/1, Survey No.119/2D, Survey No.119/3D, Survey No.119/4B, Survey No.119/5B, Survey No.119/6B,  Survey No. 120/1, Survey No.120/2, Survey No.120/3B, Survey No.120/4B, Survey No.120/5B, Survey No.120/6B, Survey No.123/1, Survey No. 123/2, Survey No.123/3 and Survey No.125/5, all situated at Pantharapalya Village, Kengeri Hobli, Bangalore South Taluk",,,pantharapalya,Attiguppe,1.53,Yes,"https://www.google.com/maps/search/?api=1&query=12.945,77.506"
139,AIEKYA,Avaneesh Ventures,31-12-2027,,,,"Site No 18, Yelachenahalli Village , Uttarahalli Hobli",107.1,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
140,AMBHA BHAVANI RESIDENCY,SHREE JNANAKSHI BUILDERS AND DEVELOPERS,31-12-2027,,,,"KHATHA NO - 391/20/1 & 20/12/223, PATTANAGERE VILLAGE , KENGERI VILLAGE, BANGALORE SOUTH TALUK, WARD NO 198",,,kengeri,Kengeri,0.0,Yes,"https://www.google.com/maps/search/?api=1&query=12.8274,77.4822"
147,GOOD EARTH OCHRE,GOOD EARTH ECO DEVELOPMENTS PRIVATE LIMITED,31-10-2027,,,,"Sy. Nos. 223 (P), 224 (P) & 226 (P), , Kambipura Village, Kengeri Hobli, , Bangalore South Taluk",,,kambipura,Vajrahalli,3.75,Yes,"https://www.google.com/maps/search/?api=1&query=12.883,77.504"
153,IRESH ADVAITA,M/s. IRESH INFRA,31-12-2027,,,,"SY. NO. 22/6, KATHA NO. 34/22/6, PARAPPANA AGRAHARA VILLAGE, BEGUR HOBLI, BANGALORE SOUTH TALUK, BANGALORE",88.4,,parappana agrahara,Yelachenahalli,6.67,No,"https://www.google.com/maps/search/?api=1&query=12.872,77.627"
154,VAARAHI VIVAREA,VAARAHI CONSTRUCTIONS,30-06-2027,,,,"Sy. No. 210/1 (Old Sy. No. 69) , Kambipura Village",98.8,,kambipura,Vajrahalli,3.75,Yes,"https://www.google.com/maps/search/?api=1&query=12.883,77.504"
159,WEAVE,EVANTHA SRI DURGA PROJECTS,31-03-2027,,,,"Khata No: 150200102700720489 (255-256-257), situated at Sy No 182/9, 182/27 and 182/28 , Bikkalanahalli Village, Sarjapur Hobli, Anekal Taluk",,,anekal,Vajrahalli,24.14,No,"https://www.google.com/maps/search/?api=1&query=12.71,77.69"
160,HEXA SKYLINE,HEXA BUILDER,31-08-2027,,,,"KATHA NO: 3036/81/1/87/8/81/2/81/4/81/7/81/5, GOTTIGERE VILLAGE, UTTARAHALLI HOBLI, BANGALORE. WARD NO 194",107.9,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
161,SRI NANJUNDESHWARA RESIDENCY,SRI NANJUNDESHWARA INFRATECH,31-12-2027,,,,"SY NO 82/5, (NEW SY NO 82/7), KATHA NO 853/4666/82/5/4666,  , KENGERI VILLAGE, KENGERI HOBLI, BANGALORE IN WARD NO 198",,,kengeri,Kengeri,0.0,Yes,"https://www.google.com/maps/search/?api=1&query=12.8274,77.4822"
163,Heavie Halcyon,Sentient Devcon LLP,31-08-2027,,,,"Katha No. 274/233/249/228/226/227/223/225 , Ward no. 174, Agara Village , 22nd main road, Sarjapura road, Begur Hobli",144.5,,sarjapura,Yelachenahalli,14.76,No,"https://www.google.com/maps/search/?api=1&query=12.88,77.71"
167,DHIRAAN LOTUS,DHIRAAN INFRASTRUCTURE PVT. LTD,31-12-2027,,,,"SY NO'S  199/4, 199/3, SITUATED @ KHATHA NO - 544 , BEGUR HOBLI, BANGALORE SOUTH TALUK, WARD NO: 192",,,begur,Yelachenahalli,6.04,No,"https://www.google.com/maps/search/?api=1&query=12.87,77.618"
170,MY BUILDCON SERENE,MY BUILDCON,30-06-2027,,,,"Sy. No. 11P, Dodda Nagamangala Village , Electronic City, Phase - 2",94.9,,electronic city,Yelachenahalli,13.16,No,"https://www.google.com/maps/search/?api=1&query=12.8399,77.677"
171,SUGUNA ELITE AVENUE,SUGUNA BUILDERS AND DEVELOPERS,13-03-2027,,,,"KATHA NO 7412, SY NO 100/4, HALAGEVADARAHALLI VILLAGE , KENGERI HOBLI, BENGALURU SOUTH TALUK, BENGALURU WARD NO 160",153.7,,halagevadarahalli,Vajrahalli,1.56,Yes,"https://www.google.com/maps/search/?api=1&query=12.868,77.518"
172,Celestial Charm,Sree Vidhathri Developers,14-08-2027,,,,"Royal Park Residency, BBMP Khatha No.525, Alahalli Village,  , Uttarahalli Hobli, Bangalore South Taluk, within BBMP Ward No.196, Anjanapura",140.9,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
173,THE BREEZE WAY,M SQUARE INFRA,31-03-2027,,,,"BBMP Katha No. 2266/104/3007/185/1, Ward No. 194 , Kothanur Village",96.9,,kothanur,Yelachenahalli,0.84,Yes,"https://www.google.com/maps/search/?api=1&query=12.8989,77.578"
174,PLATINUM LANDMARK,SAI PROPERTIES,30-12-2027,,,,"Sy 80, Kembathahalli, Uttarahalli Hobli",104.5,,kembathahalli,Doddakallasandra,0.38,Yes,"https://www.google.com/maps/search/?api=1&query=12.8802,77.5463"
175,SPOORTHY DIVINE,MANOJ CHIDANANDA,09-01-2025,,,,"PLOTTED DEVELOPEMENT OF RESIDENTIAL LAYOUT OF LAND BEARING SY NO. 52/2, SITUATED AT RAMOHALLI VILLAGE, Kengeri 2 Hobli, BANGALORE SOUTH",,,ramohalli,Kengeri,2.38,Yes,"https://www.google.com/maps/search/?api=1&query=12.819,77.462"
176,SAI ORCHID,AKSHAYA INFRA,30-06-2027,,,,"Sy. No. 11P, Electronic City, Phase - 2 , Dodda Nagamangala Village, Beguru Hobli",100.7,,electronic city,Yelachenahalli,13.16,No,"https://www.google.com/maps/search/?api=1&query=12.8399,77.677"
178,SLV Gardens,M/S. S L V Gardens,31-12-2027,,,,"Sy no 161/4&171/1   , Taralu Village, Uttarahalli Hobli",,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
179,AYDIN INFRA SIGNATURE 3,AYDIN INFRA,05-08-2027,,,,"Site No 1 ,Sy no 2/1P ,3P, 4P,5,6,7,8,10,11,12,12/1   , Ward no 151, Srinivagilu Amanikere Village, Jakkasandra ,Begur Hobli,",122.2,,jakkasandra,Yelachenahalli,5.62,No,"https://www.google.com/maps/search/?api=1&query=12.912,77.628"
180,PRUTHVI EVARA,M/S. PRUTHVI PROJECTS,31-03-2027,,,,"SY NO 118/1, 118/4, 118/5, 128/1, 128/3, 128/4 OF MAHALECHOWDADENAHALLI VILLAGE, , SARJAPURA HOBLI,",,,sarjapura,Yelachenahalli,14.76,No,"https://www.google.com/maps/search/?api=1&query=12.88,77.71"
182,CINNAMON CITADEL,RROYAL INDRAPRASTHA CINNAMON CITADEL LLP,02-05-2027,,,,"Sy No 288/3 of B M Kaval Village , Kengeri Hobli",,,b m kaval,Kengeri,2.18,Yes,"https://www.google.com/maps/search/?api=1&query=12.847,77.483"
185,RAGAM MEADOWS,M R VENTURES,31-08-2027,,,,"17/1 & 17/2 Begur Village, Begur Hobli,  , Bangalore South Taluk",101.6,,begur,Yelachenahalli,6.04,No,"https://www.google.com/maps/search/?api=1&query=12.87,77.618"
186,PSN Misty Woods,P S N Developers,31-12-2027,,,,"Sy No 38/1, 38/2, 38/3, 38/4, 38/5, 45/1, 45/2, 45/3, 45/4 and 45/5 of Harohalli Village , Sarjapura Hobli, Anekal Taluk, Bangalore Urban District",,,sarjapura,Yelachenahalli,14.76,No,"https://www.google.com/maps/search/?api=1&query=12.88,77.71"
191,Beryl Tranquil Terraces,Beryl Properties Private Limited,31-12-2027,,,,"SITE NO 471/9/10/11/12, ,  SUBRAMANYAPURA  VILLAGE, UTTARAHALLI HOBLI, WARD NO 197",115,,subramanyapura,Konanakunte Cross,2.31,Yes,"https://www.google.com/maps/search/?api=1&query=12.91,77.553"
